14340	273	3	40.75
1294	12	6	5.02
4207	766	11	175.08
222	475	11	76.85
1239	106	5	14.69
103	1510	5	12.87
693	1339	3	27.98
3645	305	4	42.41
3236	448	4	44.34
152	1220	6	38.66
341	149	15	80.77
107	11611	4	35.57
2047	4563	3	44.29
101	4043	6	22.36
128	4149	4	30.63
826	524	3	23.01
1780	12	5	5.51
101	3398	6	19.32
160	4768	3	25.68
928	2814	3	35.02
894	170	6	36.81
311	2437	3	26.91
111	2971	3	14.16
168	169	37	198.63
536	122	3	6.79
1551	120	10	67.09
28	7746	8	78.7
208	911	3	16.51
7835	103	5	35.98
145	7143	3	27.59
103	8381	4	25.95
712	4563	7	101.3
142	122	12	15.51
101	14089	4	28.64
747	12	16	23.14
715	2457	15	219.64
1968	187	3	20.65
109	2938	7	44.14
8690	2094	3	49.28
166	136	7	9.99
770	3224	3	35.03
7681	103	3	16.12
1609	1612	29	513.93
333	532	7	52.46
117	435	3	3.99
1072	5999	5	76.91
1729	2617	4	54.19
806	337	3	20.11
651	5664	3	38.17
9486	502	3	41.08
637	8651	5	76.64
781	396	3	20.93
454	5667	3	35.78
101	6115	4	15.52
2109	12	4	4.19
102	251	18	12.15
253	832	5	35.21
12	3216	3	4.06
1305	4121	3	40.16
101	5419	6	28.09
214	329	7	36.51
146	197	6	11.89
3174	101	4	9.15
386	226	5	25.49
6578	180	7	86.36
130	4527	5	42.59
102	5654	3	11.11
2623	102	15	81.82
247	3589	4	39.7
28	14704	4	39.34
199	183	21	112.49
168	2013	6	47.58
671	461	3	20.69
2166	101	20	99.72
1276	1020	4	42.73
16067	14	3	19.29
13175	4230	4	86.05
2340	1009	3	34.46
117	198	13	25.78
140	842	4	17.58
163	172	11	33.78
325	1799	3	25.17
502	2241	3	29.5
263	859	4	27.12
1541	9760	3	48.43
173	2703	4	31.57
116	1889	3	12.25
2541	233	4	35.64
195	247	19	115.26
107	130	325	1822.02
3161	124	8	66.89
201	115	9	11.97
265	5533	5	59.84
28	19597	3	29.51
839	102	23	79.79
12	8331	4	17.29
196	1320	3	18.25
110	1332	10	51.22
132	3353	3	19.81
229	328	13	87.2
918	153	3	13.31
110	7927	3	21.57
1496	116	5	22.84
1049	2115	3	33.92
327	14	22	10.49
237	143	3	4.16
465	171	6	28.2
392	13835	3	43.34
132	227	7	15.95
106	1172	4	9.64
3354	2979	3	44.6
57	3808	4	22.14
272	140	3	4.8
104	5050	6	39.94
158	271	3	6.23
103	3075	7	34.86
4203	109	9	72.74
2379	109	4	18.01
274	173	5	16.49
721	211	20	181.81
21	2	5	10.04
396	101	13	6.71
2430	105	8	43.66
4712	12	5	16.55
28	14669	4	39.34
183	729	4	21.08
937	140	4	18.46
12	937	12	16.25
12	2788	5	9.73
101	2912	8	28.42
1916	14	9	18.63
1471	244	5	41.18
102	8092	4	22.14
104	1646	11	54.09
12	137	167	216.79
101	2234	12	44.73
1814	477	3	27.53
11124	102	5	39.48
136	1391	9	62.9
133	896	3	10.91
166	14	54	13.72
131	143	7	5.66
112	921	28	190.37
465	440	3	18.03
1543	101	10	24.23
164	4071	3	24.48
108	148	85	299.78
8363	674	6	96.93
145	1918	5	34.13
175	647	7	41.12
681	14	13	10.17
8132	101	3	12.15
6063	12	3	8.27
2014	14	5	5.67
187	1501	5	36.6
105	1776	3	8.19
895	6985	4	59.82
123	1938	3	14.69
104	5370	8	62.45
3029	12	6	15.33
286	2217	9	99.14
3069	106	3	11.91
148	364	13	67.8
2762	12	4	6.18
152	554	3	10.19
181	199	9	32.74
153	179	19	78.06
213	101	29	14.45
781	133	4	15.7
543	146	4	14.55
102	2237	4	8.56
102	531	7	3.99
105	893	15	65.74
104	563	51	293.97
479	101	23	37.35
417	85	9	66.6
179	108	30	71.39
553	182	8	48.36
110	1862	3	10.34
231	2174	5	45.04
842	221	25	252.82
8454	110	5	43.46
6017	101	3	9.66
4642	945	5	70.93
3122	14	5	9.95
4142	101	5	16.55
2743	171	5	42.07
136	288	6	16.84
1659	109	3	9.39
375	439	29	301.35
568	2191	12	158.13
164	1629	9	74.37
163	1261	4	23.81
143	2169	3	17.97
116	1402	28	234.73
6021	281	3	33.31
101	9590	3	13.33
196	139	9	22.22
374	4956	4	47.39
1553	109	3	8.91
553	12	20	25.5
102	749	21	63.61
139	9479	3	29.31
354	2327	18	241.68
105	967	6	16.52
2801	2071	3	40.5
7518	103	3	16.12
3205	14	5	10.4
654	12	9	3.85
8820	113	5	49.25
12467	12	3	15.55
12	7000	3	9.75
3095	104	4	17.1
183	232	3	6.73
196	7064	4	44.6
5299	101	10	60.91
2475	102	3	5.59
2568	5058	7	126
2210	217	4	32.97
835	240	8	63.18
1027	10801	3	47.31
1784	105	3	8.19
111	3401	3	15.04
110	1294	8	36.65
564	212	4	20.84
28	19551	3	29.51
433	1038	5	43.99
207	1457	6	47.77
1760	109	10	57.45
4793	14	3	6.06
379	1086	5	43.32
1045	7817	6	102.92
8951	12242	4	95.81
2204	130	3	16.51
148	4327	4	33.9
1034	621	4	36.52
9183	462	5	75.87
731	12	22	43.58
186	4131	4	37.24
5771	14	3	7.05
216	7437	3	32.38
1982	103	5	15.76
848	2537	11	157.11
5824	196	6	70.09
1894	142	4	24.86
1603	2801	3	38.66
9307	14	4	18.24
585	203	4	20.35
1027	6571	3	42.59
274	109	12	24.9
57	10163	3	23.69
3515	14	3	4.02
1233	4922	4	57.61
188	1105	5	33.27
807	8515	7	122.77
447	746	4	30.78
1051	214	4	26.26
103	3125	7	34.86
2474	10387	5	100.81
1034	1341	3	30.63
336	2628	4	39.83
184	186	13	54.77
3272	106	3	12.19
12	4356	4	10.04
103	5224	10	77.85
128	2239	5	33.1
12	184	35	6.71
2159	142	4	26.25
307	629	9	73.7
158	2389	6	49.04
479	405	6	44.15
15062	826	3	52.62
2486	1363	4	51.67
308	4315	7	87.02
1029	14	8	5.86
622	766	7	67.82
310	1	26	120.4
2746	12	9	28.42
2269	807	5	59.86
327	202	3	9.97
109	991	4	10.47
133	706	3	9.45
1998	14	5	5.67
3473	1243	5	70.42
779	14267	3	47.75
643	703	4	33.43
3226	754	3	34.85
1016	1774	3	32.59
3120	2304	3	42.08
118	173	18	39.35
113	1484	4	16.07
561	1378	3	26.7
4517	12	4	10.61
28	19582	3	29.51
3120	600	5	60.89
1973	125	3	14.99
8137	131	6	67.45
110	1254	3	7.82
10758	196	4	50.68
149	1639	3	16.5
1536	211	4	29.58
102	548	10	11.03
823	102	6	5.99
3882	12	3	5.15
894	110	3	5.87
477	115	4	7.37
1883	101	4	4.83
12	5195	5	17.5
102	777	14	32.38
103	2880	4	14.29
491	209	8	49.62
9406	105	3	20.78
119	774	3	7.81
5696	109	4	26.93
1799	3547	4	57.68
12	4921	3	6.66
101	312	175	898
12	2287	4	4.76
2356	103	3	7.72
3395	12	4	7.78
307	196	25	180.89
690	21	3	7.12
1168	1955	21	340.3
135	711	5	21.4
7254	14	3	9.11
10199	111	3	25.06
117	342	4	5.62
1663	130	3	14.62
2784	4668	3	46.42
197	5445	3	29.05
57	319	7	9.37
109	4459	3	16.53
163	2074	3	19.49
169	823	10	69.39
588	818	5	44.99
526	113	3	4.43
12	9427	3	11.88
237	611	3	15.69
16066	5159	3	65.82
114	137	18	20.18
2883	109	3	13.11
114	937	4	12.39
113	535	14	60.59
1214	213	3	18.9
1904	102	15	67.41
203	274	10	52.2
3466	12	3	4.57
2025	492	6	65.97
434	2998	11	146.02
6229	14	3	7.64
28	4960	13	127.9
738	6649	4	56.95
502	629	3	21.06
2413	103	3	7.91
28	6944	9	88.54
7317	146	3	27.63
594	227	5	30.08
5510	16	5	46.14
804	2054	5	58.79
920	171	8	54.25
2842	103	4	14.29
1854	108	3	9.82
5718	12	3	7.67
110	816	3	5.43
1187	116	4	14.58
114	811	10	46.1
113	2511	3	13.93
158	8280	3	29.94
8649	105	3	19.56
2640	1145	13	203.18
180	121	7	8.49
7193	101	3	11.18
12090	1451	3	51.88
180	954	6	39.27
4417	16	6	54.44
2153	124	4	23.14
105	4729	5	31.23
15573	57	3	30.39
12	4135	3	5.48
12	1631	7	10.22
101	2026	9	25.49
102	907	6	6.86
158	211	3	4.4
5554	1133	3	41.84
11952	14	3	14.87
242	173	4	10.31
183	668	4	20.19
83	266	3	8.91
4634	12	4	10.61
354	19102	3	47.11
103	3898	4	17.2
809	428	3	21.64
266	2610	3	26.18
2024	19490	3	58.66
57	1781	4	14.77
195	3140	5	45.97
13610	1147	4	73.03
981	14	9	7.41
328	115	6	11.31
4251	161	6	59.4
172	1060	7	48.03
1512	1856	3	35.47
163	471	5	21.36
164	873	3	13.81
109	1346	15	90.19
502	196	13	90.76
565	171	4	17.36
409	6139	7	100.16
19425	108	3	30.69
145	7671	3	27.59
202	102	426	2829.33
14128	712	4	68.87
2553	105	3	10.38
103	4108	3	11.45
521	881	4	33.55
122	883	3	9.7
2529	109	4	18.58
357	3238	3	29.98
19081	196	3	41.75
222	441	4	19.23
452	342	4	24.2
4533	12	4	10.61
1175	1073	3	29.98
103	2708	6	25.55
318	121	8	23.41
336	492	3	16.8
1836	6721	4	65.08
393	113	14	51.71
11540	14	3	12.72
217	165	4	8.26
5108	102	9	57.68
1090	1839	3	33.16
105	1682	8	36.33
129	733	3	9.53
156	784	5	26.21
129	2963	13	126.64
586	114	4	8.84
147	119	227	1528.7
122	208	9	18.53
2886	174	3	22.51
152	3669	6	55.24
1137	117	10	55.33
6953	1606	3	46.42
220	383	4	18.01
101	4319	13	81.43
105	5870	3	16.95
159	2728	3	21.04
9811	101	3	13.33
1510	352	10	107.24
873	3886	3	37.17
10846	187	3	34.68
1440	109	11	59.86
17296	193	3	41.68
102	633	12	19.78
1173	3936	3	39.07
633	3764	8	111.37
1041	1470	20	296.61
677	124	11	57.33
142	298	3	5.58
164	1562	5	34.54
137	1222	5	27.49
133	270	3	3.97
109	2279	4	17.74
405	3415	3	31.18
778	12	11	10.12
2601	113	3	14.15
198	136	4	4.38
57	853	5	12.91
109	2036	3	10.68
10316	106	3	22.44
1076	394	6	54.5
3531	166	5	44.66
1463	1028	8	100.03
111	7644	3	21.24
3193	1289	3	38.27
558	206	3	13.36
4794	101	3	8
175	509	22	170.32
1726	18455	3	57.55
7901	1008	4	62.34
3606	101	3	6.11
178	170	50	317.55
3206	101	4	9.15
216	306	3	10.18
2161	102	17	89.14
1140	12	6	3.89
2422	125	6	41.83
3692	101	3	6.11
2901	18550	3	61.23
549	651	3	21.79
8611	14	3	10.05
7000	4697	5	99.18
6339	118	7	69.42
8	4	5	29.12
14819	102	3	23.69
1201	369	23	282.78
146	254	13	55.1
1767	273	14	158.21
964	3025	23	417.07
12	293	29	22.92
101	406	67	230.19
599	57	15	59.55
7399	1166	3	44.23
145	9947	3	29.85
1914	1793	3	36.86
2652	101	3	4.19
1636	103	8	29.29
163	247	3	5.95
135	1061	4	18.8
608	1698	3	28.93
704	177	3	13.29
106	381	5	4.28
2469	8	3	15.63
876	154	3	13.14
588	105	4	4.74
102	11001	3	17.03
646	3965	4	50.06
107	18837	3	30.42
535	198	10	66.35
3627	102	4	13.06
289	320	3	13.05
3158	14	5	9.95
110	4704	3	17.15
239	270	3	10.37
771	122	4	14.08
5724	163	3	27.02
1102	249	3	19.76
104	1778	3	7.46
284	213	5	21.05
5682	834	3	39.79
997	14	17	32.1
3134	170	6	54.68
1259	808	3	28.58
851	8846	6	105.95
122	695	7	30.51
120	464	6	18.15
4568	134	4	32.35
221	2130	7	66.43
220	160	4	8.23
12	5836	3	8.27
103	529	116	855.66
3248	12	4	7.42
11357	128	3	29.7
14693	167	4	53.27
1799	133	7	48.33
214	186	4	9.97
3549	12	5	12.41
518	196	4	18.61
393	423	9	70.86
102	2771	3	6.2
863	957	3	27.15
479	482	4	27.37
480	14	16	8.97
171	104	19	14.98
57	2099	6	29.45
507	104	6	7.97
135	1487	8	54.94
674	253	4	24.47
194	469	7	38.63
13955	110	3	26.6
404	400	7	51.12
1960	543	3	29.1
809	116	3	7.1
952	85	54	740.61
6863	101	3	10.36
106	3085	4	18.27
377	113	8	20.57
8103	102	3	14.28
175	284	4	12.25
6082	103	3	14.53
7056	9	4	35.38
3343	105	3	12.42
281	14	24	8.85
101	1838	38	256.42
3426	106	8	50.97
1676	123	3	13.81
184	1980	3	20.63
2429	103	3	7.91
3007	240	3	26.35
357	201	4	16.1
3038	489	3	31.63
12	3630	3	4.85
104	622	18	67.17
105	3317	3	12.42
104	3441	3	11.95
12	811	17	28.99
1171	116	8	40.02
1804	176	3	19.3
3967	12	4	9.51
182	6428	7	86.89
17012	14052	3	74.82
4709	187	3	27.38
1475	4667	3	41.95
201	12634	3	37.66
284	2254	3	25.75
1900	14	15	46.43
118	513	6	17.58
1016	1967	3	33.23
830	5191	3	39.19
106	912	3	4.35
107	803	4	8.25
198	202	5	14.16
6159	103	5	30.56
1243	6162	3	43.08
112	1728	4	16.35
10715	101	3	14.87
2243	5174	4	64.06
1349	14	6	4.54
198	1745	3	20.41
110	1009	11	51.59
106	7467	3	18.63
765	1201	4	39.8
9868	6787	6	138.86
821	9681	3	44.3
171	393	3	9.25
650	818	3	24.4
807	412	18	196.57
1156	12	6	4
5852	1776	6	102.72
504	175	3	11.07
146	10375	3	31.48
2165	14	5	6.37
106	2856	3	11.38
711	338	3	19.31
613	1583	4	40.32
5541	151	6	62.44
154	11087	4	47.26
2603	14	8	20.17
104	11689	3	21.54
116	5825	3	20.95
8430	102	7	55.27
224	120	42	215.93
11664	105	3	22.36
5289	21	8	76.16
314	1371	4	32.98
317	776	4	28.15
158	707	9	55.85
186	366	19	132.84
102	386	42	126.48
357	154	3	7.74
3613	256	3	28.62
656	198	4	20.89
3520	1421	4	55.38
101	3975	11	59.18
155	4013	3	23.89
159	2465	3	20.36
128	198	5	6.13
12	483	22	25.49
5883	12077	4	89.99
6511	12	3	8.95
178	3705	8	84.14
1247	8610	3	45.73
1837	1339	3	34.51
4049	328	3	31.24
113	2600	3	14.15
1187	164	20	186.27
365	332	3	15.06
976	103	10	30.01
146	15459	3	38.2
921	751	4	37.14
705	1140	3	27
288	361	3	13.96
367	239	3	12.55
1764	12	5	5.33
2720	1093	25	454.35
234	478	4	20.78
644	119	4	11.03
57	7089	6	51.81
57	397	65	402.17
136	674	3	9.65
133	1233	3	12.84
134	427	19	109.43
