214	1181	6	12.13
1138	425	3	6.76
9	427	19	7.56
3721	207	3	8.83
105	16512	3	11.79
7910	124	3	8.51
14340	273	3	22.89
104	16892	3	11.07
754	3226	3	17.32
336	1360	3	6.95
1262	564	3	8.77
243	969	8	20.06
2284	196	5	13.95
817	1810	3	13.59
1294	12	40	11.39
185	6937	3	12.46
3994	645	3	18.24
4986	21	4	7.72
2081	725	3	14.35
758	282	7	15.81
192	3069	3	7.47
695	3473	4	25.35
1743	1117	3	15.51
4207	766	12	133.61
634	208	17	44.54
161	1796	7	15.94
695	1243	3	9.98
250	2196	3	7.7
449	2573	5	26.45
1140	5340	3	23.73
511	313	11	28.9
354	3731	17	159.79
1594	273	3	6.69
3131	83	3	9.83
3992	385	3	14.66
104	7792	5	10.76
101	6620	8	9.6
7734	141	3	10.11
352	770	4	8.21
1975	1585	3	18.58
127	4873	4	9.22
1529	355	3	8.06
203	10518	3	17.75
3067	157	4	9.06
3029	135	6	13.92
11024	221	4	29.3
104	5351	6	8.7
5684	176	3	10.4
3480	104	9	11.36
2459	102	19	14.14
9677	336	3	21.2
287	923	7	18.3
222	475	14	26.5
635	727	4	10.88
128	296	23	8.64
154	445	13	9.25
660	126	25	37.64
693	1339	3	10.41
8586	1	3	6.85
362	798	4	7.26
3422	179	4	11.55
153	8182	4	18.93
357	1480	3	7.27
389	139	21	16.89
428	741	4	8.18
3645	305	5	26.21
5498	277	3	14.7
1505	320	4	11.42
183	5062	3	10.5
6947	119	3	6.68
152	1220	9	16.13
3236	448	3	14.19
10789	3141	3	37.06
1710	127	9	14.09
341	149	23	22.5
9731	233	3	18.02
748	1059	5	21.48
305	175	17	14.91
786	646	6	21.82
5690	988	3	22.88
422	416	9	20.93
2979	102	17	17.46
491	132	15	7.44
1574	203	4	6.82
107	11611	4	12.38
21	948	12	7.62
2047	4563	3	26.31
1867	1998	3	20.1
755	475	4	8.72
198	13869	3	19.73
626	3977	4	26.61
5553	775	5	44.18
350	3644	3	13.17
579	489	5	11.23
577	736	5	14.84
3985	101	13	11.75
478	3010	3	13.52
216	4617	3	11.08
13967	3304	3	40.24
446	652	4	7.15
12	3672	15	10.77
836	15029	3	34.88
101	4043	12	10.32
7752	141	3	11.07
10285	412	3	23.7
759	1303	3	11.15
128	4149	8	28.56
826	524	4	11.2
217	2666	3	7.56
124	114	176	17.67
104	580	38	13.17
6411	489	3	19.9
101	1691	42	63.92
103	2591	12	8.32
105	2839	8	6.83
285	1578	7	26.92
9737	101	5	9.3
4715	2872	4	42.55
125	595	15	11.69
3725	222	3	9.73
126	205	39	6.69
599	1233	4	14.79
2736	1093	7	59.1
2638	310	12	82.52
190	2019	4	7.52
1113	122	10	8.67
104	733	36	21.15
192	1248	6	11.06
600	306	8	17.83
160	4768	4	13.69
12015	112	3	10.3
928	2814	3	17.49
894	170	12	23.43
9301	753	3	25.83
2426	372	7	39.1
3480	1501	4	33.61
3046	12372	3	39.59
311	2437	4	15.36
147	1455	6	6.8
337	979	4	8.23
244	373	10	13.63
311	332	18	46.8
817	139	11	11.04
1988	109	11	12.6
1380	455	3	8.03
8153	105	5	11.88
422	646	4	6.95
5425	11712	4	60.03
2560	125	10	29.28
18548	1979	3	40.84
3863	148	4	10.27
111	2971	7	8.36
1787	57	23	46.31
257	1214	4	7.65
1753	190	5	10.23
832	172	7	6.87
3288	255	3	10.11
168	169	85	137.46
642	1871	4	19.26
1394	6934	5	51.81
106	1652	15	11.1
108	117	316	27.67
289	3053	3	10.94
198	1632	4	6.73
110	864	33	46.81
165	5304	4	14.39
1551	120	16	35.46
107	6005	6	13.24
28	7746	8	41.04
8	8281	4	14.05
121	10229	3	10.72
113	497	34	26.75
1289	3193	3	20.54
172	164	34	12.53
1696	345	3	7.78
177	3714	3	7.73
175	3435	4	11.47
102	12646	4	9.25
7835	103	5	8.66
1318	453	3	7.84
2847	888	3	17.73
252	10454	3	19.9
14662	108	3	8.91
145	7143	3	10.29
430	1033	5	14.91
1455	1493	3	15.83
9311	102	6	13.88
715	6640	3	22.32
434	1495	7	31.51
403	363	6	8.21
208	4329	4	16.53
139	6030	3	8.18
5123	104	6	7.57
712	4563	7	59.48
10050	125	3	10.95
114	203	64	11.3
1189	506	3	8.46
4317	165	3	7.55
1255	416	14	76.55
14683	28	3	15.38
101	14089	4	7.44
715	2457	14	120.15
2334	611	3	13.62
112	2803	7	7.75
2847	182	4	11.21
1044	394	4	9.88
7862	4432	5	70.46
380	1573	3	8.15
1790	571	41	454.88
109	2938	9	13.52
12629	106	4	15.86
163	3750	3	7.03
8690	2094	3	31.29
132	491	15	7.44
162	1645	5	7.29
1	17366	3	15.81
199	1334	6	12.72
1217	1336	11	82.12
110	206	86	22.88
2745	219	3	7.76
198	1465	6	13.08
121	11314	3	10.72
2095	118	8	10.56
986	514	4	11.39
985	124	11	8.13
1079	3390	3	19.8
2894	1544	6	51.74
3501	186	3	7.7
6230	150	4	15.34
3348	184	6	24.56
256	198	17	14.26
322	527	6	9.31
230	12	229	23.98
132	3827	4	7.91
228	877	6	9.55
2712	782	4	24.18
770	3224	3	17.26
707	159	9	9.05
974	381	5	13.19
4616	101	11	11.3
102	10063	5	6.91
1420	149	10	22
1609	1612	30	358.26
174	5054	3	9.72
1106	4681	3	23.49
102	15777	3	6.94
333	2238	6	28.83
333	532	8	18.24
2273	101	22	11.21
144	3206	4	7.76
1766	1209	3	15.83
234	105	74	9.73
530	6950	4	34.38
1289	197	5	8.35
708	514	5	13.58
1127	664	3	9.04
112	1841	9	6.87
5823	3601	3	33.26
1694	16745	3	39.55
1072	5999	5	50.79
680	814	3	7.38
175	624	9	9.52
5851	780	4	32.44
176	224	18	7.99
327	2108	3	9.52
1729	2617	4	30.57
806	337	11	39.21
590	1125	3	8.81
117	4875	5	10.32
651	5664	5	41.77
1070	488	4	11.87
172	5485	3	10.02
17313	102	3	6.94
10773	1870	3	33.6
164	2448	5	12.17
4241	101	12	10.32
1154	1014	3	12.03
1691	1735	41	592.15
8	15609	3	17.45
672	1344	4	16.35
641	953	3	8.38
3670	1	7	16.31
1625	114	10	8.91
2651	116	6	6.64
28	432	34	21.94
3762	125	4	7.48
195	5388	3	11.99
981	1465	7	43.52
9486	502	4	34.48
3473	201	3	8.36
2480	101	20	15.14
442	105	41	9.36
517	608	4	8.48
181	4917	4	16.32
488	1581	4	14.71
3547	326	3	12.32
487	1189	4	12.7
424	119	26	13.03
637	8651	5	46.9
6201	225	3	14.57
905	322	5	10.99
9850	1658	3	33.28
455	1316	3	7.93
967	265	7	17.08
781	396	7	20.8
119	2485	6	8.59
334	129	21	8.41
183	3553	3	7.69
652	3504	3	16.71
454	5667	3	18.57
5520	9170	3	40.11
151	688	11	11.32
721	175	25	79.41
119	254	35	9.08
83	1777	4	10.36
1741	177	7	19.45
129	7414	4	14.31
864	353	4	7.6
541	3135	4	22.2
515	358	8	17.68
14	1902	37	6.72
101	1114	39	8.18
601	190	8	7.69
1176	337	4	9.86
216	2597	6	22.65
217	2210	4	10.16
1236	864	4	18.43
4268	490	3	16.55
252	948	9	25.73
253	832	5	7.6
1408	5863	3	26.18
7342	122	3	7.73
187	2338	8	40.39
1808	346	3	8.61
281	812	14	53.04
3661	484	3	16.07
1305	4121	3	22.2
101	1996	20	7.92
2637	14	26	11.19
159	361	14	9.95
1334	545	4	15.54
104	2393	11	7.7
1976	303	4	13.26
6676	156	3	10.65
355	511	8	18.82
9814	113	3	7.4
5687	133	3	6.73
7727	136	3	10.26
101	5419	8	6.88
281	7225	5	36.21
1534	455	4	14.07
1024	524	3	7.75
1025	886	4	16.16
2045	147	6	11.1
8	2258	6	6.94
274	856	7	16.55
308	132	21	6.78
1354	542	5	20.78
182	4012	3	9.4
178	2464	6	17.53
103	18399	3	9.69
102	18011	3	6.94
240	3296	3	10.07
3688	104	9	12.46
214	329	20	36.28
154	17325	3	21.73
553	406	5	8.94
121	5556	6	19.87
2625	255	3	8.85
391	1339	3	7.21
390	1740	16	105.78
275	4446	5	28.67
555	3043	9	67.84
8671	157	3	12.36
3398	219	4	14.1
5448	28	5	12.58
1165	569	3	8.86
2149	14	33	14.21
3174	101	17	17.73
110	11695	3	7.53
1098	383	4	10.18
133	11877	3	12.37
1448	394	3	7.65
4032	116	6	11.65
3312	2399	15	198.57
192	142	40	17.22
104	1663	15	8.87
14	744	95	7.7
218	3987	3	10.9
125	1431	7	7.78
217	3624	4	15.51
129	969	13	16.16
155	2149	5	9.72
350	1103	5	13.75
1373	710	3	10.82
7221	132	4	14.6
145	12254	3	16.11
385	2325	4	16.44
159	5315	4	14.81
1566	473	4	15.05
6578	180	7	44.73
130	4527	6	19.25
4434	196	3	9.89
115	9885	3	8.88
8308	21	3	7.42
128	6416	3	7.83
897	134	17	28.35
1914	3347	3	23.95
6193	2509	3	30.04
546	966	3	7.12
14	577	133	34.33
102	1696	25	12.01
221	2276	4	11.18
1140	1676	9	69.45
129	111	183	26
756	827	4	13.59
2623	102	21	24.51
4538	2872	4	41.85
274	1757	4	11.01
120	2163	9	16.66
275	1873	4	11.77
1294	389	3	6.94
180	4105	3	8.31
4226	349	6	39.4
848	126	13	11.72
247	3589	4	16.47
28	14704	4	20.51
121	975	13	11.7
4385	102	9	7.79
851	539	7	26.91
226	6189	3	13.75
323	5394	3	16.86
473	147	18	17.71
3023	336	3	11.96
199	183	56	104.94
9103	104	4	7.81
4338	151	3	7.23
2166	101	25	19.92
4432	5228	4	47.43
670	330	5	9.5
231	2647	3	8.06
168	2013	12	44.89
671	461	5	11.3
643	2255	3	14.33
739	738	3	7.67
8	13461	3	13.07
4791	116	6	14.41
764	959	4	14.36
1276	1020	4	19.26
175	4347	7	33.55
8930	28	3	7.55
280	9980	3	19.22
3462	3943	17	275.68
499	1382	3	9.37
1515	152	13	37.19
13175	4230	4	62.05
3323	4221	6	72.28
2340	1009	3	16.59
805	159	9	11.11
711	3089	3	16.45
2178	104	12	9.44
1663	416	4	13.99
141	12	517	9.41
1734	1788	41	614.05
117	198	63	15.06
203	178	23	9.09
775	112	25	25.62
806	771	3	8.21
881	4743	3	21.16
234	394	8	7.81
10263	429	5	51.67
139	189	36	9.04
177	930	8	12.41
205	147	39	20.97
12762	285	3	23.38
368	3812	3	14.38
232	6342	3	15.53
402	1930	3	10.41
400	615	5	9.66
401	1798	5	20.33
1991	489	20	164.8
1390	444	3	8.72
3161	110	7	8.5
107	106	559	12.25
109	1394	22	36.62
868	10199	5	59.68
201	150	30	12.45
325	1799	3	7.91
14676	202	3	19.9
3320	429	5	29.93
50	494	5	14.93
12144	2767	3	38.73
502	2241	3	12.13
109	1061	17	11.05
110	411	71	102.34
702	147	10	8.27
291	2878	3	10.23
227	214	41	92.43
1244	580	4	14.39
292	2022	3	7.82
1541	9760	3	30.44
2155	8464	3	33.16
13102	117	3	11.53
109	6599	4	7.06
7020	109	5	13.01
395	12958	3	25.71
4109	14	16	6.89
2064	103	30	74.12
115	2382	8	14.2
112	3041	7	9.93
301	124	47	49.96
170	2340	4	7.62
4730	1183	3	23.64
173	2703	5	13.22
2061	7713	3	30.63
18772	10904	3	54.59
1252	3669	3	22.02
1825	3807	4	35.48
302	3015	3	11.32
563	677	4	9.58
532	1192	3	8.28
1578	1862	3	18.38
2027	555	3	12.18
5608	115	4	7.1
939	399	4	10.11
404	804	5	12.73
101	9395	6	11.16
3433	502	5	30.89
6660	587	4	31.1
4964	101	10	7.56
367	2792	3	12.19
3147	28	12	34.33
436	2042	4	16.72
123	8462	3	8.58
12	9952	6	9.31
206	2341	3	7.11
