994	16029	18
111	20687	2
362	16903	16
334	20981	1
14	26443	19
1105	16667	12
14	20834	10
143	13867	4
102	853	6
22458	21382	22
196	9171	34
113	29662	10
104	4490	6
66497	18618	5
371	3355	7
9372	26667	7
30493	18869	7
14	18986	27
458	17877	10
14	26610	40
361	1129	7
1164	18280	4
9364	16566	15
145	19783	16
12	2265	6
902	28408	18
42554	1419	6
451	730	23
105	25037	8
130	3125	38
1375	27193	1
620	17290	27
46122	5808	15
5023	23693	16
2467	3873	4
14	13296	27
4573	6694	9
28	26542	2
13324	12234	26
122	29143	8
14	20032	19
56963	18250	9
7449	23146	3
6474	19403	7
111	21134	20
101	23220	13
10838	1285	10
152	26608	22
68484	13175	1
6391	13854	0
103	1411	5
21	2373	17
2759	15926	1
108	21345	23
57	15258	26
57	20298	1
101	6568	19
1253	13258	2
14973	8763	10
4044	915	20
856	615	27
279	6066	2
56484	19113	21
342	6097	32
837	26926	0
12619	14878	22
54802	12932	38
110	9442	4
427	18509	7
141	2023	12
2398	633	0
83501	16449	6
164	3156	24
101	7329	17
117	19886	13
278	6950	14
491	4603	9
4871	11239	2
3841	1118	4
42905	9306	9
780	30021	26
115	5463	7
8014	26677	12
744	30267	18
473	499	26
67284	5278	2
583	3053	6
242	18577	10
507	11544	5
2178	158	30
4946	14932	2
1842	3992	14
49644	14560	7
1312	5002	5
249	21213	5
57	14685	26
965	29313	27
70613	7010	28
147	16242	23
253	2423	7
656	18671	6
5773	17473	5
14	17987	10
119	11931	11
3116	29019	25
988	7324	4
101	899	8
117	21132	20
1815	9536	3
102	29863	1
3868	4270	14
24862	11506	13
57	22635	1
1788	955	12
5340	9045	12
103	19768	8
12	12605	4
12569	28730	0
193	7426	18
2334	7614	20
17	2921	11
11425	11003	15
101	18257	20
2181	28774	6
5413	14793	25
21	13614	7
8	6940	7
960	19470	1
453	27441	4
1125	25049	24
102	1628	4
10229	5875	6
109	19446	7
44880	13293	18
113	27572	7
191	28716	12
12	24229	14
101	23511	7
3319	14385	28
12	20265	6
116	26806	3
49844	4085	21
1716	4690	10
11450	3707	5
432	23365	16
437	2356	4
415	19106	0
9008	7616	1
179	5099	15
124	8226	14
1924	11400	14
1529	19105	32
104	17491	16
6244	23175	7
21	28474	10
14	24578	19
8	3870	15
107	4431	15
129	6416	2
117	9721	17
102	2291	1
24123	21710	27
351	25862	15
5497	14244	14
149	12495	12
106	14048	1
3596	803	0
101	17652	10
86178	11373	18
1308	21671	0
42726	5958	9
101	29971	17
128	16218	16
79747	6548	19
47415	10394	13
82372	3413	16
1609	2291	13
14	25063	15
117	9244	13
103	11201	5
118	2606	13
371	7134	15
14	12499	19
4544	19334	10
12957	7767	5
307	5426	9
23610	23827	19
377	4358	9
2034	13807	11
290	15891	7
12	7608	4
14	1823	22
14	25809	32
12	5785	1
197	7704	26
20507	13831	8
101	10541	22
121	30078	36
189	22309	12
24845	28	21
12	4439	3
69292	4897	23
6496	5559	2
101	22236	8
38430	19093	0
14	25997	7
408	22489	3
370	5498	1
4988	15751	11
104	9573	11
12988	24189	7
10269	14781	0
5959	11955	23
101	26334	15
8	3258	5
501	83	10
543	4725	3
15308	5048	10
1492	14565	13
117	1300	20
757	29147	4
14	19406	19
11140	25775	13
14	6146	34
3538	2819	18
406	24676	18
129	1296	7
458	227	30
57	4083	1
114	27000	12
229	26033	29
4900	25640	27
754	29380	11
3827	4858	11
112	1459	14
1841	12306	32
126	10454	21
12	1017	23
5503	1640	6
140	5200	13
102	23851	3
103	28272	19
184	29678	6
2610	9313	16
400	12047	5
104	20468	3
878	4018	5
326	23088	1
593	14287	16
14	3833	19
29542	20742	16
112	1110	18
14547	18847	3
4333	19794	21
14	534	20
12	8063	4
3045	20450	28
77291	4764	16
1262	7411	4
246	28172	2
693	4653	2
27295	7542	8
12	28192	11
2272	11592	2
19571	681	27
302	26344	13
132	16227	16
140	25871	2
244	26238	15
14	11370	45
151	18037	18
631	26254	10
13821	19665	2
959	17649	17
637	15497	0
461	14787	1
193	17402	1
689	12627	1
1375	4515	3
163	27658	2
28	6822	37
43047	25320	18
25510	11121	26
28	25611	28
306	12461	5
8	16938	22
16244	778	5
182	22611	18
170	19722	4
9016	27109	24
161	16183	28
128	30112	11
110	9005	18
58	20735	9
28071	15765	15
1680	5782	22
202	7244	29
2267	13439	7
101	20635	12
595	25922	8
284	27970	3
2716	25946	27
141	28061	28
8169	25254	18
103	4012	4
2039	13348	6
116	27518	19
21	23358	31
14	11321	26
419	16289	26
1823	26086	13
12	11315	5
12	11261	7
453	13064	5
118	19764	1
101	1006	6
1644	9142	7
106	28028	30
12789	24259	1
78399	19131	12
101	12138	18
115	7615	6
125	10433	4
700	14897	30
203	15578	19
9871	26714	11
284	25634	16
10695	23840	18
440	22216	12
967	11248	3
442	7768	18
1898	19241	12
5799	5252	0
107	7209	14
248	28775	19
3086	11394	7
86575	10566	22
2024	28213	12
131	9689	12
4860	30135	22
336	21416	13
33683	5431	0
612	25633	3
38474	19536	0
101	20060	9
47674	1776	9
103	11654	1
107	14953	3
35441	20848	21
15409	13855	16
14475	25087	9
167	29145	6
1044	2770	0
105	19052	6
4911	15089	1
12	16382	27
132	29712	13
76383	14593	15
569	24649	10
3407	17429	2
14	9561	9
2894	1288	12
1243	17716	1
207	10598	20
22717	24147	31
1790	13091	7
483	20829	7
159	9314	3
43787	8449	4
10193	16215	6
106	30096	5
108	16310	15
14573	1548	12
101	14411	18
106	22233	10
859	11980	10
29186	12948	9
154	30071	19
109	12196	16
278	9569	0
52806	7667	8
691	28821	17
7932	16217	4
33251	4646	0
125	3591	31
556	18323	3
125	4066	3
421	8510	24
101	4836	24
386	27716	1
110	16327	27
1013	20567	8
679	17474	8
14	4178	12
400	10214	16
121	29411	17
636	849	13
6960	12793	14
35105	1576	28
416	9517	27
101	23794	29
697	24140	12
102	11288	22
14	22639	23
701	27989	23
158	19535	0
101	16500	14
1830	16689	24
1530	24736	0
12899	26132	23
109	22427	12
1133	9440	17
62293	23879	14
3761	5246	15
28252	23049	7
12	13401	8
14	5110	6
1912	207	5
333	11640	18
65886	232	10
394	8737	16
797	5629	7
1178	1919	23
308	26262	4
50	18299	22
28	27436	11
440	14387	12
1251	16319	9
14878	4762	0
5323	2782	12
237	6311	32
1243	24314	6
603	28325	17
448	13303	24
518	1946	10
2514	5079	8
53389	11211	9
102	10647	2
13306	9071	11
37886	10268	6
30238	13169	2
115	18220	9
907	18911	3
222	12681	1
48669	15835	4
102	824	8
14	27655	24
84254	10094	2
442	10514	1
16584	6327	35
68479	1366	5
176	20362	13
105	9049	4
14	12765	23
106	19387	17
12	10133	2
16130	13119	16
181	16243	1
894	5848	0
149	24848	8
2187	19660	15
108	8694	8
5698	23055	13
2235	6245	19
271	14313	33
535	6002	8
45	22936	2
125	13605	9
109	1290	14
14746	14647	36
110	4930	27
12	2804	10
2399	3065	0
1105	11104	8
234	16362	6
11574	5712	15
568	18035	24
58418	21649	22
55770	10418	3
194	19367	9
4967	12190	19
6483	26071	22
434	21382	2
38955	21691	0
4968	6116	6
111	29548	1
1218	7243	10
2793	7813	15
130	1408	20
37618	9306	17
104	14573	28
107	16004	9
58	6319	28
110	16439	17
8064	6179	11
28012	12028	24
119	12470	2
10227	11881	0
3110	21577	13
72122	23240	13
81938	5724	9
377	17587	5
2503	7939	21
10371	23698	10
49563	1245	5
18166	16279	3
282	17507	4
86739	4303	3
102	19658	5
19254	4463	28
133	17233	21
104	17043	22
357	17100	16
395	9167	7
354	19320	13
3702	10524	24
150	16683	3
68980	29217	13
1562	1952	9
1931	4020	3
177	18419	11
488	10143	6
194	17095	26
1555	5437	2
14665	26398	7
120	23523	26
309	5840	30
126	20612	7
19746	11024	10
3829	595	20
7620	3825	13
4986	6718	0
68672	6373	13
185	9313	23
245	24773	2
71453	21238	8
