141	1
36	2
82	3
194	4
817	5
207	6
182	7
850	8
74	9
73	10
82	11
82	12
1881	13
1026	14
694	15
397	16
433	17
2245	18
391	19
73	20
82	21
151	22
74	23
437	24
433	25
135	26
2001	27
36	28
437	29
565	30
3374	31
135	32
137	33
2311	34
2641	35
694	36
1178	37
1866	38
437	39
36	40
73	41
36	42
235	43
82	44
1990	45
1990	46
463	47
235	48
235	49
82	50
82	51
235	52
235	53
137	54
137	55
88	56
235	57
694	58
1662	59
88	60
82	61
492	62
2608	63
1698	64
135	65
88	66
2399	67
586	68
492	69
492	70
232	71
421	72
421	73
3381	74
811	75
586	76
3839	77
2488	78
1048	79
3833	80
1048	81
2993	82
1048	83
492	84
2993	85
2399	86
455	87
3799	88
2059	89
1744	90
1186	91
1644	92
1725	93
437	94
2903	95
359	96
747	97
2866	98
124	99
145	100
511	101
103	102
454	103
898	104
107	105
1390	106
282	107
282	108
1048	109
1048	110
2399	111
524	112
79	113
435	114
2402	115
390	116
1668	117
1966	118
710	119
3377	120
390	121
1160	122
2412	123
2059	124
167	125
1942	126
1942	127
1725	128
3598	129
818	130
188	131
818	132
1991	133
573	134
3518	135
1083	136
925	137
1966	138
692	139
2242	140
1161	141
259	142
1983	143
565	144
359	145
74	146
131	147
1388	148
866	149
145	150
681	151
79	152
988	153
2483	154
1390	155
134	156
982	157
354	158
135	159
450	160
3478	161
207	162
328	163
1678	164
3402	165
511	166
2554	167
2020	168
888	169
596	170
2862	171
1343	172
1188	173
1663	174
1811	175
3598	176
1996	177
3130	178
4154	179
1462	180
472	181
2260	182
493	183
371	184
182	185
124	186
124	187
2437	188
650	189
848	190
2885	191
2615	192
1994	193
79	194
169	195
207	196
354	197
131	198
565	199
171	200
568	201
245	202
2866	203
167	204
1966	205
2581	206
1991	207
259	208
848	209
613	210
282	211
92	212
1807	213
393	214
988	215
598	216
131	217
2615	218
1341	219
92	220
282	221
169	222
354	223
450	224
2885	225
232	226
1678	227
305	228
1515	229
433	230
4211	231
1462	232
1855	233
454	234
1451	235
194	236
472	237
232	238
232	239
1388	240
1843	241
437	242
354	243
450	244
1678	245
124	246
848	247
494	248
135	249
124	250
1451	251
282	252
236	253
433	254
18	255
519	256
424	257
308	258
437	259
3481	260
333	261
124	262
613	263
207	264
135	265
3387	266
971	267
990	268
2817	269
223	270
611	271
280	272
1186	273
282	274
2615	275
982	276
834	277
519	278
74	279
511	280
2899	281
1015	282
1150	283
354	284
135	285
1650	286
131	287
971	288
348	289
280	290
433	291
3551	292
1421	293
613	294
1805	295
337	296
354	297
2242	298
280	299
982	300
171	301
36	302
1910	303
424	304
2569	305
1805	306
207	307
1379	308
3629	309
463	310
188	311
1725	312
694	313
232	314
282	315
3481	316
1371	317
921	318
471	319
2224	320
112	321
695	322
112	323
2061	324
972	325
3601	326
2689	327
298	328
3601	329
820	330
2870	331
1200	332
1986	333
335	334
2446	335
2571	336
2959	337
1316	338
4121	339
490	340
1427	341
436	342
2727	343
996	344
1583	345
88	346
2222	347
1477	348
873	349
1752	350
1919	351
438	352
915	353
3258	354
294	355
533	356
541	357
1175	358
1618	359
2025	360
350	361
115	362
246	363
2114	364
2111	365
2857	366
2815	367
2401	368
4037	369
2600	370
423	371
500	372
117	373
1428	374
2006	375
2830	376
2904	377
2878	378
1546	379
1285	380
2311	381
2798	382
411	383
49	384
691	385
601	386
1938	387
3268	388
264	389
729	390
49	391
956	392
4064	393
3000	394
2863	395
49	396
3004	397
54	398
284	399
132	400
540	401
910	402
213	403
1510	404
3407	405
2290	406
594	407
1122	408
756	409
1613	410
848	411
756	412
3130	413
3219	414
310	415
3239	416
907	417
82	418
1097	419
137	420
668	421
637	422
1939	423
1114	424
1112	425
689	426
1245	427
2542	428
2542	429
2961	430
54	431
4204	432
2683	433
1750	434
935	435
723	436
199	437
3228	438
125	439
2391	440
1812	441
1146	442
2293	443
870	444
269	445
2870	446
1244	447
461	448
2995	449
628	450
2429	451
503	452
631	453
17	454
3131	455
2429	456
1318	457
2743	458
461	459
1674	460
3277	461
344	462
945	463
4054	464
174	465
423	466
1040	467
1844	468
2320	469
639	470
1546	471
198	472
958	473
208	474
2036	475
1838	476
176	477
176	478
47	479
362	480
78	481
2913	482
411	483
2593	484
3413	485
2305	486
2954	487
2290	488
907	489
317	490
186	491
172	492
781	493
219	494
153	495
1085	496
103	497
4182	498
1249	499
1500	500
201	501
88	502
3581	503
743	504
757	505
3425	506
346	507
346	508
2877	509
733	510
2283	511
1802	512
1923	513
1421	514
788	515
346	516
216	517
658	518
103	519
1723	520
3657	521
665	522
2003	523
997	524
298	525
561	526
1103	527
1740	528
1293	529
1971	530
1426	531
1222	532
1285	533
2253	534
3382	535
2436	536
56	537
1285	538
710	539
593	540
1888	541
1283	542
3368	543
855	544
980	545
980	546
152	547
1640	548
851	549
2523	550
1616	551
2392	552
1735	553
1581	554
144	555
366	556
163	557
132	558
2572	559
703	560
2266	561
1124	562
806	563
1389	564
1	565
105	566
976	567
2131	568
767	569
527	570
520	571
163	572
1828	573
711	574
191	575
797	576
3002	577
1252	578
1183	579
1731	580
2928	581
1075	582
232	583
2697	584
337	585
1366	586
1131	587
2697	588
193	589
193	590
1886	591
207	592
2430	593
932	594
4073	595
3968	596
787	597
857	598
2646	599
787	600
1921	601
456	602
703	603
889	604
220	605
220	606
1446	607
107	608
656	609
1622	610
241	611
1	612
191	613
1	614
2986	615
120	616
1809	617
915	618
1085	619
1174	620
2908	621
979	622
1924	623
755	624
2148	625
438	626
18	627
2153	628
319	629
2330	630
4186	631
1882	632
655	633
163	634
399	635
711	636
834	637
219	638
399	639
842	640
399	641
401	642
1650	643
2975	644
2576	645
538	646
2589	647
567	648
169	649
325	650
2213	651
970	652
103	653
399	654
2407	655
826	656
1011	657
1520	658
561	659
108	660
190	661
1197	662
2806	663
98	664
1585	665
1205	666
3424	667
1157	668
219	669
219	670
1083	671
1183	672
174	673
311	674
2044	675
3675	676
1726	677
825	678
3536	679
426	680
697	681
1188	682
337	683
1026	684
287	685
2383	686
147	687
162	688
3133	689
2408	690
3973	691
2008	692
2353	693
486	694
3882	695
513	696
1769	697
2391	698
161	699
2988	700
335	701
361	702
460	703
647	704
3492	705
113	706
2062	707
1242	708
923	709
333	710
3109	711
409	712
1341	713
787	714
306	715
852	716
805	717
2736	718
1130	719
111	720
270	721
1210	722
1187	723
1210	724
396	725
861	726
962	727
1210	728
122	729
345	730
56	731
3304	732
286	733
693	734
757	735
532	736
482	737
760	738
3175	739
881	740
1691	741
1189	742
824	743
809	744
1634	745
524	746
202	747
1433	748
750	749
3603	750
317	751
2579	752
3008	753
2992	754
1187	755
45	756
3081	757
1746	758
1133	759
107	760
994	761
1926	762
1951	763
2286	764
2887	765
486	766
1241	767
2165	768
2742	769
1565	770
272	771
1727	772
3471	773
1748	774
2650	775
2360	776
800	777
1727	778
575	779
2382	780
3498	781
1606	782
1004	783
2947	784
734	785
167	786
914	787
274	788
332	789
23	790
1273	791
1140	792
1267	793
180	794
729	795
70	796
1655	797
682	798
1428	799
1116	800
3888	801
1335	802
818	803
835	804
835	805
395	806
395	807
781	808
554	809
896	810
1514	811
161	812
161	813
1622	814
4021	815
2572	816
1579	817
1504	818
1131	819
2277	820
1359	821
2241	822
3109	823
3242	824
1504	825
113	826
4119	827
3371	828
1746	829
3359	830
299	831
2865	832
3961	833
562	834
129	835
624	836
376	837
1190	838
1399	839
3832	840
139	841
1192	842
4257	843
69	844
510	845
191	846
1869	847
626	848
3042	849
906	850
754	851
2767	852
2545	853
1982	854
2631	855
1293	856
95	857
4149	858
350	859
762	860
88	861
704	862
1925	863
225	864
100	865
257	866
54	867
1324	868
1152	869
138	870
103	871
201	872
1496	873
2767	874
1022	875
427	876
477	877
222	878
2287	879
2665	880
1701	881
1728	882
956	883
3438	884
3102	885
1022	886
148	887
1346	888
2291	889
49	890
123	891
538	892
1751	893
158	894
219	895
124	896
111	897
264	898
49	899
1140	900
415	901
462	902
149	903
557	904
350	905
3070	906
3283	907
2797	908
906	909
1821	910
346	911
1338	912
2303	913
1597	914
1086	915
729	916
257	917
1872	918
1333	919
51	920
456	921
584	922
739	923
1919	924
357	925
2031	926
209	927
1171	928
1984	929
19	930
177	931
103	932
2314	933
278	934
1203	935
1046	936
380	937
4126	938
264	939
273	940
712	941
171	942
3441	943
1744	944
3454	945
1418	946
66	947
891	948
132	949
1581	950
254	951
3071	952
3345	953
854	954
235	955
555	956
3742	957
3540	958
627	959
337	960
854	961
236	962
110	963
188	964
1014	965
3684	966
2410	967
1398	968
88	969
56	970
2556	971
2218	972
2522	973
2695	974
3575	975
177	976
433	977
1715	978
2243	979
1043	980
45	981
443	982
827	983
1452	984
2149	985
1151	986
2333	987
136	988
331	989
3121	990
1264	991
1112	992
448	993
66	994
2430	995
2099	996
579	997
210	998
2290	999
1971	1000
56	1001
1062	1002
259	1003
461	1004
697	1005
1282	1006
668	1007
2549	1008
217	1009
1425	1010
3326	1011
1341	1012
652	1013
1847	1014
1763	1015
289	1016
441	1017
2304	1018
238	1019
632	1020
79	1021
962	1022
1811	1023
1530	1024
3430	1025
1	1026
579	1027
375	1028
1013	1029
147	1030
471	1031
35	1032
3101	1033
1118	1034
1163	1035
220	1036
3382	1037
73	1038
813	1039
644	1040
563	1041
325	1042
2939	1043
85	1044
382	1045
104	1046
1737	1047
110	1048
542	1049
343	1050
2550	1051
1010	1052
3755	1053
1026	1054
2567	1055
528	1056
94	1057
1826	1058
475	1059
285	1060
462	1061
4236	1062
139	1063
36	1064
256	1065
2016	1066
935	1067
3041	1068
317	1069
3041	1070
151	1071
1370	1072
576	1073
150	1074
387	1075
3945	1076
3080	1077
301	1078
288	1079
1481	1080
1895	1081
370	1082
1481	1083
65	1084
3232	1085
187	1086
73	1087
1466	1088
3978	1089
910	1090
357	1091
402	1092
1457	1093
173	1094
125	1095
1391	1096
2071	1097
1158	1098
88	1099
808	1100
2756	1101
65	1102
2113	1103
1206	1104
482	1105
275	1106
1047	1107
1252	1108
1808	1109
357	1110
947	1111
1808	1112
899	1113
456	1114
363	1115
158	1116
1234	1117
2286	1118
46	1119
1029	1120
356	1121
56	1122
61	1123
141	1124
3659	1125
136	1126
146	1127
931	1128
1598	1129
345	1130
1122	1131
505	1132
227	1133
923	1134
2093	1135
2541	1136
2624	1137
655	1138
1134	1139
2466	1140
957	1141
743	1142
57	1143
175	1144
154	1145
699	1146
1304	1147
3198	1148
1306	1149
102	1150
2395	1151
45	1152
663	1153
45	1154
45	1155
917	1156
1289	1157
446	1158
1590	1159
1461	1160
127	1161
572	1162
150	1163
218	1164
1164	1165
1791	1166
3354	1167
29	1168
884	1169
198	1170
547	1171
129	1172
115	1173
2647	1174
2100	1175
1783	1176
390	1177
1318	1178
592	1179
665	1180
1102	1181
1663	1182
1825	1183
1569	1184
149	1185
181	1186
557	1187
502	1188
1309	1189
2440	1190
46	1191
584	1192
2694	1193
847	1194
1353	1195
1323	1196
507	1197
340	1198
1619	1199
192	1200
3473	1201
1088	1202
3482	1203
238	1204
935	1205
1151	1206
321	1207
367	1208
1701	1209
136	1210
3965	1211
804	1212
97	1213
1726	1214
3454	1215
1831	1216
677	1217
1431	1218
108	1219
45	1220
2405	1221
2552	1222
1864	1223
906	1224
133	1225
4113	1226
256	1227
596	1228
257	1229
2106	1230
1839	1231
2188	1232
1004	1233
2075	1234
1511	1235
379	1236
735	1237
2125	1238
1798	1239
299	1240
1626	1241
686	1242
244	1243
159	1244
821	1245
360	1246
3554	1247
1588	1248
66	1249
107	1250
47	1251
395	1252
3015	1253
130	1254
2042	1255
167	1256
1283	1257
1544	1258
3223	1259
144	1260
125	1261
969	1262
499	1263
571	1264
603	1265
810	1266
54	1267
1921	1268
257	1269
663	1270
2586	1271
402	1272
3668	1273
937	1274
1975	1275
897	1276
286	1277
631	1278
173	1279
234	1280
173	1281
1336	1282
183	1283
165	1284
725	1285
722	1286
467	1287
663	1288
1812	1289
876	1290
1458	1291
1166	1292
373	1293
340	1294
60	1295
159	1296
118	1297
1897	1298
804	1299
445	1300
141	1301
2572	1302
766	1303
82	1304
1700	1305
255	1306
604	1307
194	1308
517	1309
193	1310
251	1311
725	1312
955	1313
710	1314
958	1315
1120	1316
2614	1317
307	1318
815	1319
3053	1320
3018	1321
1859	1322
1258	1323
3955	1324
926	1325
1476	1326
3353	1327
916	1328
3302	1329
2705	1330
3901	1331
889	1332
286	1333
3446	1334
1603	1335
478	1336
838	1337
141	1338
3229	1339
194	1340
1706	1341
1952	1342
839	1343
174	1344
268	1345
2093	1346
1599	1347
483	1348
860	1349
597	1350
1022	1351
100	1352
46	1353
719	1354
2467	1355
49	1356
872	1357
872	1358
3052	1359
3052	1360
2228	1361
1334	1362
2776	1363
1743	1364
441	1365
1443	1366
234	1367
36	1368
916	1369
1472	1370
269	1371
2664	1372
1721	1373
1662	1374
1716	1375
1721	1376
475	1377
484	1378
1047	1379
366	1380
1834	1381
1041	1382
1376	1383
836	1384
381	1385
614	1386
1431	1387
3548	1388
3445	1389
1658	1390
187	1391
2812	1392
1037	1393
45	1394
459	1395
1507	1396
3318	1397
1504	1398
106	1399
615	1400
3672	1401
1901	1402
3091	1403
43	1404
51	1405
340	1406
16	1407
51	1408
68	1409
340	1410
3510	1411
377	1412
351	1413
202	1414
485	1415
485	1416
263	1417
254	1418
2659	1419
174	1420
432	1421
3930	1422
288	1423
288	1424
65	1425
4087	1426
592	1427
798	1428
206	1429
2519	1430
1614	1431
801	1432
36	1433
193	1434
571	1435
2820	1436
449	1437
3899	1438
4207	1439
23	1440
309	1441
3494	1442
1324	1443
173	1444
122	1445
2971	1446
262	1447
262	1448
369	1449
3409	1450
2227	1451
169	1452
1681	1453
274	1454
1026	1455
2022	1456
1375	1457
2838	1458
293	1459
1019	1460
1210	1461
301	1462
1199	1463
4170	1464
318	1465
2137	1466
292	1467
2103	1468
1317	1469
347	1470
1389	1471
78	1472
1709	1473
1239	1474
685	1475
194	1476
210	1477
781	1478
214	1479
2616	1480
409	1481
